artist_id,artist_name,genres,followers,artist_popularity
01xEQf6JyCI4cqp2Ld86k9,Guapa,slap house,1732,22
03y4yOxhLk6MDJ1bV424uO,Lavern,stutter house,158262,65
0418xhpb0MLi9OfTGiTRas,FRHAD,g-house,4772,38
05Zz1bJC5yo1hhKBXJgiFm,Froro,slap house,1192,29
0Dcekxlb2bwUGn3neC6J4J,Marasi,"afro house,afro tech,latin house,tribal house",6475,45
0DdDnziut7wOo6cAYWVZC5,KREAM,,310179,65
0L8JYDELi85NGgYy30MbRa,Nyday,stutter house,6674,46
0PX2pq6qcOfKp3NQOJMGvz,LEDUC,stutter house,582,33
0QlnfOIWscqfuWTcci7IwM,POLTERGST,"hypertechno,techno,hard techno",51072,60
0WHbjg8hVel1R9kq5794HX,Shimza,"afro house,afro tech,3 step,gqom,tribal house",215153,64
0XmmX4fE4SiRMu3ICsP5sA,Lipless,melodic house,23802,52
0lIiVp6FVbJR2utszYQhNf,INNERVERSE,deep house,7576,56
0xRXCcSX89eobfrshSVdyu,MEDUZA,,953048,75
14byx2nRysWNtgauCXscKT,PLS&TY,afro house,47500,53
1ElV1LPQsKmt6kuUjIBdHG,Neon Tide,,5534,50
1WcwbtAnG5HWNbPPK84ued,Hayley May,,12224,55
1ZZdKHHFrEYmBD8M8yzjrq,AIZZO,"slap house,hypertechno",4049,39
1jpObIFmNOGfBc93WowfkT,Lynnic,"stutter house,melodic house",72293,66
1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,,189384,62
25rSPSJSC2g85FSgBuV8SE,DV7,slap house,953,15
270lBB4c4WBLdrzQKgrXDI,Sixten,"rally house,house,hard house",3530,44
28ntgpEkMU9Zm7F3gLDMhZ,oskar med k,,66152,72
2AR90aUsAcUfWSUtBCktSP,HNE,stutter house,3017,49
2C53tNkcdWjM4R3xHVxBvS,KERTSCHER,slap house,4640,34
2CpLIMBoE2ZzyY3ZBCRZ7j,BUNT.,stutter house,282499,74
2KShewLkb92FKEZ6N4cVP9,Vanco,"afro tech,afro house,3 step",20687,63
2KcuDXfSU3CCEuC85IO8e6,Kiki,slap house,1329,19
2QYmb5VU9IPtOC7gs9esJB,BASTL,"slap house,hypertechno",5932,42
2SFeAQCwEOviqFqZ2cjDCV,HVSH,slap house,7066,39
2VhoJf6VdIoPnifnThy9UV,WITH U,afro house,14950,60
2aLLYZ0sdqweMEPFUyYIXJ,NOTSOBAD,"slap house,deep house",22787,59
2mNOoqXYY177q7TtuqJL9q,Nathan C,deep house,7421,48
2mNRczRlW0G5nkWtpMm1aM,Yarimov,"slap house,frenchcore",4079,46
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,"edm,trance,big room,house,dance",7943555,84
2vf4pRsEY6LpL5tKmqWb64,Elderbrook,,520905,70
33cjmfhkyHbulkQwkuxe3i,BROHM,slap house,6723,46
360IAlyVv4PCEVjgyMZrxK,Miguel,r&b,6059906,81
37Up7pQq2Rp10t33P6XY5P,Lidere Litecrisp,lounge,43,37
39B7ChWwrWDs7zXlsu3MoP,Sonny Fodera,house,299003,72
3AEEmo3VYEBbQBUUEY2fUS,Badflite,deep house,7906,49
3NaMuUYTIGm6CC3YqTuTvi,CRi,"stutter house,melodic house",48853,50
3OgXv5i2hFt93vxZ8iVLcc,Myles Lloyd,,35958,61
3U9tMQRWU2vzRYYhIOzJNZ,OSVISS,,5875,40
3YGQcI92cOYtFdYLHhTpax,Xd,slap house,6894,39
3fsRpP11Bpi8aiRlMi1dPj,ÖRA,,367,28
3hnbNJJnN1jFk3MmBvcn9Z,Soda,g-house,21655,46
3xksDFio6oCdauPR6UE4Aj,Danell Arma,slap house,9203,50
3zW0xazqnHoq9QV9zBROVC,it's murph,"stutter house,house",93229,65
42KUul1wLmOdQCEYf3MweS,Lonely in the Rain,,30470,58
48aqzGnSFeO0t4FKTGmq72,Kastuvas,"slap house,drum and bass",5583,45
4HJnsUVBubdKJ2aV0sr48u,Ape Drums,moombahton,32509,59
4ME20XT9IP5JOpqoIGQ6Js,Naarly,"afro house,afro tech",34105,67
4Uhgu5miW68A3eqRl26xtf,Kareem Ali,"jazz house,lo-fi house",15077,44
4admDxmnri5Zco0xYrJ0ji,Jamie Jones,"tech house,house,deep house",284956,60
4eHzBO6qaL2wt35kENSbTs,Tobiahs,stutter house,79324,60
4hheW577K2nAMAwDuTGAA4,heylucas,,27594,60
4lAkDxZ9sgjZD3mDPRgM4B,UVITA,"afro house,afro tech,melodic house",2303,44
4xq4vuvsEgo8UzaAn8HlIY,WONGA,"g-house,slap house",1997,32
532SqCIYmJyXEdEiCJLgYG,Cristoph,"melodic techno,progressive house,melodic house",83271,56
5344K3N7rx7kw1HjO8psuq,James Carter,,69762,65
56WlN4e9YbaEI8KdXaFgTN,Jend,stutter house,46804,57
586uxXMyD5ObPuzjtrzO1Q,Sofi Tukker,,922341,70
5CkVLGKUJkIc1pmSk10QP4,Eli & Fur,"melodic house,deep house,melodic techno,progressive house",158457,59
5EXlM2WBPw4fwTnDNazXxv,JKRS,"hypertechno,techno",35395,61
5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,,2262828,78
5PlfkPxwCpRRWQJBxCa0By,HUGEL,"latin house,afro house,techengue",628969,82
5ReEaUoPEJMxR0hefo2QZ4,FLX,,4261,38
5Unw6xhYZ2FmUZIY6iCAbY,SI US PLAU,slap house,113,25
5h9NCujJrwNVZz9bDIDbvn,Kayote,,19132,53
5oJvmyeWzyeahRtjup3Oys,AVAION,"deep house,stutter house",261543,71
5pW2lVGlbVSVWi9086Xjfu,Avi Snow,,29583,57
61lyPtntblHJvA7FMMhi7E,Duke Dumont,house,790161,71
64KEffDW9EtZ1y2vBYgq8T,Marshmello,edm,34400987,84
6EB8VE9f7Ut6NOgviN6gDW,Dawid Podsiadło,,2352321,69
6HOWJLi8n9Q29NB5F4Bhmr,Atilla Khan,"g-house,slap house",1633,33
6HfRl1vZ3mVDGkXb7Pknjv,Tonic Walter,melodic house,54648,60
6KGv020mJkIjQH5YPDSBcZ,Astrality,deep house,25279,63
6KJPsGYJN54GllYOKTleaj,Aaron Hibell,stutter house,276087,60
6OFZSmtxDquMkX2XZJSN6y,PALASTIC,deep house,36201,56
6X2OB3TE91YnoJDmIWAROq,AZVRE,"hypertechno,slap house",1181,34
6Xu5UlsnkfZs7hVBR9Gmxq,mölly,melodic house,3629,49
6jo2wtsxA05csbowWjnKg0,Gadyca,slap house,775,13
6mDl7lQiLxT0iQ8LYhAlWy,Zerb,afro house,170290,74
6u1e1yxbcOzQ96mQl2L6ta,MUPHUS,hypertechno,380,28
6w1Lc9aPSM2m4eGqDWoKkA,Noro,slap house,5320,51
6xeFne1rkxMhKSW3ipvkdV,Toploader,,119021,65
75jzFWGzvtNIwV7xoAp0wg,Julien Fade,deep house,4589,49
77aSuatWvKnuoF8OudmiQ4,Lithuania HQ,slap house,9445,18
78dUeeMpavPUMBv0kGCape,Beatmount,slap house,2488,28
7AcpHojwmE3bQlZYQ9UEjH,INDI,"slap house,g-house",596,16
7FtCyCJCJaxabYO7Uyda5B,Cannons,,441316,64
7dToZgn1tZjiCKeT1y60zw,Hunter Plake,,12050,44
7kNqXtgeIwFtelmRjWv205,John Summit,"house,tech house",568051,77
7sxSSGqEv1mo7yXBqfX0Ja,Ramoon,"moroccan rap,moroccan pop",19511,57
7u4ayw4QFEsolPxZgnPAMT,Jonasu,,20908,48
