track_id,name,artist_id,artist_name,album,popularity,played_at
35dt2bP4CcBzepyufQbvYZ,Fire Fire,0WHbjg8hVel1R9kq5794HX,Shimza,Fire Fire,76,2025-09-21T16:11:41.829Z
3VXJln5ZvlvzbsjJFhRhZE,Addicted (feat. TIMID.),4ME20XT9IP5JOpqoIGQ6Js,Naarly,Addicted (feat. TIMID.),77,2025-09-21T15:41:19.215Z
6LiuMpZjyjjuXFP5Ljo9bv,We Groovin (with Jazzy),4admDxmnri5Zco0xYrJ0ji,Jamie Jones,We Groovin (with Jazzy),54,2025-09-06T10:17:57.525Z
2XOoOrYb8ZptaoTxQdoqfk,Where the Sun Goes Down,3AEEmo3VYEBbQBUUEY2fUS,Badflite,Where the Sun Goes Down,57,2025-09-04T15:07:57.560Z
4a9WGmpSTpy2C7mYixenDq,Feeling The Same,0L8JYDELi85NGgYy30MbRa,Nyday,Feeling The Same,51,2025-09-04T15:04:57.169Z
4a9WGmpSTpy2C7mYixenDq,Feeling The Same,0L8JYDELi85NGgYy30MbRa,Nyday,Feeling The Same,51,2025-09-04T15:04:04.610Z
0wYI9ob0NLlUJTkSC3a4yV,Drifting (SISTEK Remix),2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,Drifting (Remixes),46,2025-08-21T13:31:57.701Z
3MQdVQWJhcz2SVFcOVF4aA,Savin,6X2OB3TE91YnoJDmIWAROq,AZVRE,Savin,32,2025-08-21T13:27:58.791Z
47JnKvBQFj4kFNs3sancVJ,Alone,4eHzBO6qaL2wt35kENSbTs,Tobiahs,Alone,57,2025-08-21T13:25:50.637Z
5H95n43z0KFcXGCEc0ewe1,Pieces,5oJvmyeWzyeahRtjup3Oys,AVAION,Pieces,62,2025-08-21T13:22:52.367Z
3wo3d0I5H8KjkwGvnz8WbB,Somedays,39B7ChWwrWDs7zXlsu3MoP,Sonny Fodera,Somedays,79,2025-08-21T13:19:34.894Z
5AYlX4QZwH2njZlFG8ZrC5,morning light,6KJPsGYJN54GllYOKTleaj,Aaron Hibell,morning light,55,2025-08-21T13:15:36.532Z
