track_id,name,artist_id,artist_name,album,popularity,time_range
6LiuMpZjyjjuXFP5Ljo9bv,We Groovin (with Jazzy),4admDxmnri5Zco0xYrJ0ji,Jamie Jones,We Groovin (with Jazzy),54,short_term
2XOoOrYb8ZptaoTxQdoqfk,Where the Sun Goes Down,3AEEmo3VYEBbQBUUEY2fUS,Badflite,Where the Sun Goes Down,57,short_term
3VXJln5ZvlvzbsjJFhRhZE,Addicted (feat. TIMID.),4ME20XT9IP5JOpqoIGQ6Js,Naarly,Addicted (feat. TIMID.),77,short_term
4a9WGmpSTpy2C7mYixenDq,Feeling The Same,0L8JYDELi85NGgYy30MbRa,Nyday,Feeling The Same,51,short_term
09eWLCCXXypdgrlfLAMy3n,Lately,5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,Inhale / Exhale,63,short_term
1PyJuE9ZMWStB6ZuAFim4v,Energy,1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,Energy,36,short_term
3sd9TaGrdsIUBgyKdJVeM6,One Day Left,37Up7pQq2Rp10t33P6XY5P,Lidere Litecrisp,Summer Vibes,22,short_term
7u0fz3V6cYeYTX91DMmIvQ,Food for the Soul,3zW0xazqnHoq9QV9zBROVC,it's murph,Food for the Soul,68,short_term
05ABa89D7t0Swx17JUwH52,Hours,0XmmX4fE4SiRMu3ICsP5sA,Lipless,Hours,42,short_term
1vfBfRJaHRFVRRYMoJNg7N,Self Control,1jpObIFmNOGfBc93WowfkT,Lynnic,Self Control,67,short_term
2B2bhxD79C8Fmk6ApMWH7j,The Code,3fsRpP11Bpi8aiRlMi1dPj,ÖRA,The Code,36,short_term
5ds1pxspUBAlYro772BO4x,Here Again,6Xu5UlsnkfZs7hVBR9Gmxq,mölly,Here Again / Wild Again,51,short_term
6JLLai8GXvv1ITRNnCYFlm,IYWML,7u4ayw4QFEsolPxZgnPAMT,Jonasu,IYWML,32,short_term
6K1MxJMyM2ImqQvYTdrnDL,Control,532SqCIYmJyXEdEiCJLgYG,Cristoph,Control,42,short_term
6d3mEicaeN9jLDYG8hL2ZD,My Reflection,5CkVLGKUJkIc1pmSk10QP4,Eli & Fur,Dreamscapes,46,short_term
5U0iZCQ9e8PaLYxup0pcnO,Another World,0xRXCcSX89eobfrshSVdyu,MEDUZA,Another World,65,medium_term
4a9WGmpSTpy2C7mYixenDq,Feeling The Same,0L8JYDELi85NGgYy30MbRa,Nyday,Feeling The Same,51,medium_term
5LUjt4SKSokxFN5qF0T3rS,All My Life,61lyPtntblHJvA7FMMhi7E,Duke Dumont,Union,42,medium_term
7Dwk4YmBNSqOfRAN7MjQZK,set me free,6KJPsGYJN54GllYOKTleaj,Aaron Hibell,set me free,67,medium_term
1Ko0EfBeoXS20g6EGKtCzL,Sun Is Dark,56WlN4e9YbaEI8KdXaFgTN,Jend,Sun Is Dark,51,medium_term
1m7JH2anPjNzUDmusvbOyL,Save Me Now,5ReEaUoPEJMxR0hefo2QZ4,FLX,Save Me Now,24,medium_term
2TUFKhKl4EZYAo3D9FXU5E,Pieces,5oJvmyeWzyeahRtjup3Oys,AVAION,Selfreflection,62,medium_term
2XOoOrYb8ZptaoTxQdoqfk,Where the Sun Goes Down,3AEEmo3VYEBbQBUUEY2fUS,Badflite,Where the Sun Goes Down,57,medium_term
3MQdVQWJhcz2SVFcOVF4aA,Savin,6X2OB3TE91YnoJDmIWAROq,AZVRE,Savin,32,medium_term
4mD6xnWbbhIjVZe4E7oDkk,Inner Light,6OFZSmtxDquMkX2XZJSN6y,PALASTIC,Inner Light,50,medium_term
4ml1Eq4wmcdfN0Q6pNEly7,TRIPPIN,2CpLIMBoE2ZzyY3ZBCRZ7j,BUNT.,TRIPPIN,70,medium_term
5AYlX4QZwH2njZlFG8ZrC5,morning light,6KJPsGYJN54GllYOKTleaj,Aaron Hibell,morning light,55,medium_term
6Ilomcr9iLplsgAvZjHkJP,Location,6mDl7lQiLxT0iQ8LYhAlWy,Zerb,Location,77,medium_term
7ClzJE519FxZeSp2UoTZvt,Sad Love (feat. JAIKO),5h9NCujJrwNVZz9bDIDbvn,Kayote,Sad Love (feat. JAIKO),51,medium_term
7Dh4j5JltkdH159xm77JiF,Crazy,3OgXv5i2hFt93vxZ8iVLcc,Myles Lloyd,Crazy,73,medium_term
7mITEzfBPQJ6bCHBXv0rNZ,Nowhere Else (LaLaLa),6u1e1yxbcOzQ96mQl2L6ta,MUPHUS,Nowhere Else (LaLaLa),36,medium_term
7mNXqJNUEPqiALzp1I9Yk1,Losing You,75jzFWGzvtNIwV7xoAp0wg,Julien Fade,Losing You,60,medium_term
08BkQRJEvv84rRqvemudhS,Outside,2QYmb5VU9IPtOC7gs9esJB,BASTL,Outside,18,medium_term
0gFU6WpY95i8uuoPlGNIsP,Be Enough,2AR90aUsAcUfWSUtBCktSP,HNE,Be Enough,53,medium_term
0wYI9ob0NLlUJTkSC3a4yV,Drifting (SISTEK Remix),2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,Drifting (Remixes),46,medium_term
1MEiXJK91I7by4os5CxKpH,Electric High,03y4yOxhLk6MDJ1bV424uO,Lavern,Electric High,54,medium_term
1kIXISa45Mf6QNMRM9GGRX,Open Your Eyes,5ReEaUoPEJMxR0hefo2QZ4,FLX,Open Your Eyes,38,medium_term
3Fzlg5r1IjhLk2qRw667od,Dancing in the Moonlight,6xeFne1rkxMhKSW3ipvkdV,Toploader,Onka's Big Moka,78,medium_term
47JnKvBQFj4kFNs3sancVJ,Alone,4eHzBO6qaL2wt35kENSbTs,Tobiahs,Alone,57,medium_term
4mAzX31RZKmopH9qZhQQ59,Makes Me Move,5ReEaUoPEJMxR0hefo2QZ4,FLX,Makes Me Move,31,medium_term
4madkqL1bB8rweDVBG8FvR,Let It Go,2aLLYZ0sdqweMEPFUyYIXJ,NOTSOBAD,Let It Go,71,medium_term
5Z0IgjCjtcoMPQHBtlKvu9,Whatever We Like,5ReEaUoPEJMxR0hefo2QZ4,FLX,Whatever We Like,34,medium_term
5j2ONNLDz5PwdXqtDU8QI0,Breathe in the Blue,75jzFWGzvtNIwV7xoAp0wg,Julien Fade,Breathe in the Blue,53,medium_term
5rOZLvuxnouaWA5jl5rYeY,"Hold On, We're Going Home",270lBB4c4WBLdrzQKgrXDI,Sixten,"Hold On, We're Going Home",56,medium_term
6AJAzlq5ujQWCzzwpeGEZA,Wicked Game,0DdDnziut7wOo6cAYWVZC5,KREAM,Wicked Game,68,medium_term
6LiuMpZjyjjuXFP5Ljo9bv,We Groovin (with Jazzy),4admDxmnri5Zco0xYrJ0ji,Jamie Jones,We Groovin (with Jazzy),54,medium_term
6SpS3512xzHKapz4plRuZW,Illuminate,6KGv020mJkIjQH5YPDSBcZ,Astrality,Illuminate,61,medium_term
7d6bWTHr7EZgygynnxAKCA,Electric Feel,5344K3N7rx7kw1HjO8psuq,James Carter,Electric Feel,55,medium_term
0k94VnTgKqsqnlxj5HT4Wx,Shallow Water,2vf4pRsEY6LpL5tKmqWb64,Elderbrook,Another Touch,56,medium_term
0xaXwvcjq7aAKwMKe22Bw7,Focus (feat. CLOVES),7kNqXtgeIwFtelmRjWv205,John Summit,Focus (feat. CLOVES),68,medium_term
1GfJCWGLfdev016PSsrUO8,Make Me Feel,28ntgpEkMU9Zm7F3gLDMhZ,oskar med k,Make Me Feel,84,medium_term
1xlypxpI8KiPQxahsIWqWV,Leave The Light On,14byx2nRysWNtgauCXscKT,PLS&TY,Leave The Light On,39,medium_term
22u0wscY6rWbbr9M7Ezg4j,CAN'T FIND YOU,5oJvmyeWzyeahRtjup3Oys,AVAION,CAN'T FIND YOU,66,medium_term
2bsEQshjXVy8ZyVPkYDwWb,Symphony,5ReEaUoPEJMxR0hefo2QZ4,FLX,Symphony,31,medium_term
3VXJln5ZvlvzbsjJFhRhZE,Addicted (feat. TIMID.),4ME20XT9IP5JOpqoIGQ6Js,Naarly,Addicted (feat. TIMID.),77,medium_term
3xSeXxD1kT2DXyWBbDAIxB,What I Need,4ME20XT9IP5JOpqoIGQ6Js,Naarly,What I Need,50,medium_term
45uwWuhL7nNamSKw3DnpQl,Fever,4hheW577K2nAMAwDuTGAA4,heylucas,Fever,60,medium_term
4FWxm0Wiu9JE3vzbOAODqO,Thinking of You,4hheW577K2nAMAwDuTGAA4,heylucas,hey,43,medium_term
4OssNR8i2CZHzIBJDxRh2e,Sun Came Up,586uxXMyD5ObPuzjtrzO1Q,Sofi Tukker,WET TENNIS,52,medium_term
4PIdTFeeNnJ87nKOf1djuG,Want U,1WcwbtAnG5HWNbPPK84ued,Hayley May,Want U,55,medium_term
